date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:38:16	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Nov%202020%2021:38:51%20GMT	https://newcrestmining.ltd/robots.txt		(from )
06:38:17	47636/47636	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Nov%202020%2021:38:52%20GMT	https://newcrestmining.ltd/	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/index.html	(from )
06:38:19	14304/14304	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Jul%202020%2005:10:17%20GMT	https://newcrestmining.ltd/images/favicon.png	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/favicon.png	(from https://newcrestmining.ltd/)
06:38:21	122546/122546	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/css/bootstrap.min.css	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/css/bootstrap.min.css	(from https://newcrestmining.ltd/)
06:38:22	31006/31006	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/css/font-awesome.min.css	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/css/font-awesome.min.css	(from https://newcrestmining.ltd/)
06:38:24	9753/9753	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/css/pe-icon-7-stroke.css	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/css/pe-icon-7-stroke.css	(from https://newcrestmining.ltd/)
06:38:25	6977/6977	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/css/menumaker.css	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/css/menumaker.css	(from https://newcrestmining.ltd/)
06:38:27	16457/16457	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/css/themify-icons.css	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/css/themify-icons.css	(from https://newcrestmining.ltd/)
06:38:28	4615/4615	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/css/owl.carousel.css	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/css/owl.carousel.css	(from https://newcrestmining.ltd/)
06:38:32	6951/6951	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/css/magnific-popup.css	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/css/magnific-popup.css	(from https://newcrestmining.ltd/)
06:38:34	45819/45819	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/css/settings.css	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/css/settings.css	(from https://newcrestmining.ltd/)
06:38:36	140793/140793	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/css/layers.css	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/css/layers.css	(from https://newcrestmining.ltd/)
06:38:37	59576/59576	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/css/navigation.css	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/css/navigation.css	(from https://newcrestmining.ltd/)
06:38:39	2167/2167	---M-Z	403	error ('Forbidden')	text/html	date:Fri,%2027%20Nov%202020%2021:39:14%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/My%20Web%20Sites/newcrest/translate.google.com/translate_a/element.ca0d8.delayed	(from https://newcrestmining.ltd/)
06:38:39	78296/78296	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Jul%202020%2014:19:11%20GMT	https://newcrestmining.ltd/css/style-home3.css	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/css/style-home3.css	(from https://newcrestmining.ltd/)
06:38:41	4558/4558	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Jul%202020%2005:06:51%20GMT	https://newcrestmining.ltd/images/newlogo.svg	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/newlogo.svg	(from https://newcrestmining.ltd/)
06:38:41	47636/47636	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Nov%202020%2021:39:16%20GMT	https://newcrestmining.ltd/?a=home	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/indexbc14.html	(from https://newcrestmining.ltd/)
06:38:43	12838/12838	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Nov%202020%2021:39:18%20GMT	https://newcrestmining.ltd/?a=cust&page=about	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/index3898.html	(from https://newcrestmining.ltd/)
06:38:50	691267/691267	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/images/slider/slider-1.jpg	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/slider/slider-1.jpg	(from https://newcrestmining.ltd/)
06:38:50	18830/18830	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Nov%202020%2021:39:18%20GMT	https://newcrestmining.ltd/?a=faq	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/index38cd.html	(from https://newcrestmining.ltd/)
