date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:43:59	18830/18830	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2027%20Nov%202020%2022:44:34%20GMT	https://newcrestmining.ltd/?a=faq	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/index38cd.html	(from https://newcrestmining.ltd/)
07:44:00	5923/5923	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2027%20Nov%202020%2022:44:34%20GMT	https://newcrestmining.ltd/?a=login	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/indexc30b.html	(from https://newcrestmining.ltd/)
07:44:01	15360/15360	U-----	200	untouched ('')	image/png	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/images/bar.png	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/bar.png	(from https://newcrestmining.ltd/)
07:44:01	9875/9875	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2027%20Nov%202020%2022:44:35%20GMT	https://newcrestmining.ltd/?a=signup	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/indexcca3.html	(from https://newcrestmining.ltd/)
07:44:01	634792/634792	U-----	200	untouched ('')	image/jpeg	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/images/slider/slider-2.jpg	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/slider/slider-2.jpg	(from https://newcrestmining.ltd/)
07:44:02	742420/742420	U-----	200	untouched ('')	image/jpeg	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/images/slider/slider-3.jpg	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/slider/slider-3.jpg	(from https://newcrestmining.ltd/)
07:44:02	53913/53913	U-----	200	untouched ('')	image/jpeg	date:Mon,%2027%20Jul%202020%2011:46:09%20GMT	https://newcrestmining.ltd/images/about.jpeg	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/about.jpg	(from https://newcrestmining.ltd/)
07:44:03	14681441/14681441	U-----	200	untouched ('')	video/mp4	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/btc.mp4	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/btc.mp4	(from https://newcrestmining.ltd/)
07:44:03	444560/444560	U-----	200	untouched ('')	image/jpeg	date:Mon,%2027%20Jul%202020%2013:23:50%20GMT	https://newcrestmining.ltd/images/3.jpeg	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/3.jpg	(from https://newcrestmining.ltd/)
07:44:03	1407522/1407522	U-----	200	untouched ('')	image/jpeg	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/images/bg/quote-bg.jpg	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/bg/quote-bg.jpg	(from https://newcrestmining.ltd/)
07:44:04	3132/3132	U-----	200	untouched ('')	image/png	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/images/icons/login.png	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/icons/login.png	(from https://newcrestmining.ltd/)
07:44:04	2570/2570	U-----	200	untouched ('')	image/png	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/images/icons/quantity.png	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/icons/quantity.png	(from https://newcrestmining.ltd/)
07:44:05	7995/7995	U-----	200	untouched ('')	image/png	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/images/icons/payment.png	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/icons/payment.png	(from https://newcrestmining.ltd/)
07:44:05	5494/5494	U-----	200	untouched ('')	image/png	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/images/icons/cart.png	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/icons/cart.png	(from https://newcrestmining.ltd/)
07:44:06	14798/14798	U-----	200	untouched ('')	image/png	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/images/icons/testimonial-arrow-2.png	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/icons/testimonial-arrow-2.png	(from https://newcrestmining.ltd/)
07:44:36	108203/108203	U-----	200	untouched ('')	image/jpeg	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/images/testimonial/testimonial-1.jpg	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/testimonial/testimonial-1.jpg	(from https://newcrestmining.ltd/)
07:44:37	106718/106718	U-----	200	untouched ('')	image/jpeg	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/images/testimonial/testimonial-2.jpg	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/testimonial/testimonial-2.jpg	(from https://newcrestmining.ltd/)
07:44:37	22195/22195	U-----	200	untouched ('')	image/jpeg	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/images/testimonial/testimonial-3.jpg	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/testimonial/testimonial-3.jpg	(from https://newcrestmining.ltd/)
07:44:37	22275/22275	U-----	200	untouched ('')	image/jpeg	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/images/testimonial/testimonial-4.jpg	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/testimonial/testimonial-4.jpg	(from https://newcrestmining.ltd/)
07:44:38	22701/22701	U-----	200	untouched ('')	image/jpeg	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/images/testimonial/testimonial-5.jpg	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/testimonial/testimonial-5.jpg	(from https://newcrestmining.ltd/)
07:44:38	22363/22363	U-----	200	untouched ('')	image/jpeg	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/images/testimonial/testimonial-6.jpg	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/testimonial/testimonial-6.jpg	(from https://newcrestmining.ltd/)
07:44:38	22572/22572	U-----	200	untouched ('')	image/jpeg	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/images/testimonial/testimonial-7.jpg	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/testimonial/testimonial-7.jpg	(from https://newcrestmining.ltd/)
07:45:08	139445/139445	U-----	200	untouched ('')	image/png	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/images/footer-map.png	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/images/footer-map.png	(from https://newcrestmining.ltd/)
07:45:09	84319/84319	U-----	200	untouched ('')	application/javascript	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/js/jquery.min.js	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/js/jquery.min.js	(from https://newcrestmining.ltd/)
07:45:10	29110/29110	U-----	200	untouched ('')	application/javascript	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/js/bootstrap.min.js	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/js/bootstrap.min.js	(from https://newcrestmining.ltd/)
07:45:10	3383/3383	U-----	200	untouched ('')	application/javascript	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/js/menumaker.js	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/js/menumaker.js	(from https://newcrestmining.ltd/)
07:45:40	79152/79152	U-----	200	untouched ('')	application/javascript	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/js/owl.carousel.js	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/js/owl.carousel.js	(from https://newcrestmining.ltd/)
07:45:40	20216/20216	U-----	200	untouched ('')	application/javascript	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/js/jquery.magnific-popup.min.js	(from https://newcrestmining.ltd/)
07:45:41	5591/5591	U-----	200	untouched ('')	application/javascript	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/js/jquery.ajaxchimp.js	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/js/jquery.ajaxchimp.js	(from https://newcrestmining.ltd/)
07:45:41	58870/58870	U-----	200	untouched ('')	application/javascript	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/js/jquery.elevatezoom.js	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/js/jquery.elevatezoom.js	(from https://newcrestmining.ltd/)
07:45:41	18174/18174	U-----	200	untouched ('')	application/javascript	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/js/smooth-scroll.js	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/js/smooth-scroll.js	(from https://newcrestmining.ltd/)
